epoch,train_loss,train_acc,val_loss,val_f1,gap,lr
25,1.0024099794484802,0.969551282051282,0.8243126372496287,0.9397346480679813,0.0298166339833007,0.0005
26,0.9788918262821132,0.9588675213675214,0.8462969561417898,0.9293630751964085,0.02950444617111292,0.0005
27,1.0099880533703303,0.967948717948718,0.8136297464370728,0.9545454545454546,0.013403263403263366,0.0005
28,0.9776884064836017,0.9620726495726496,0.8859938979148865,0.9180325846992514,0.04404006487339818,0.0005
29,0.9659893896620152,0.969017094017094,0.7984588245550791,0.9659792368125701,0.003037857204523875,0.0005
30,0.9607953701989126,0.9716880341880342,0.8112152715524038,0.9507475549142216,0.020940479273812596,0.0005
31,0.9697657762947729,0.9780982905982906,0.7945047716299692,0.959238292571626,0.018859998026664604,0.0005
32,0.9400644211445824,0.9732905982905983,0.7740109860897064,0.977202581369248,-0.003911983078649706,0.0005
33,0.9527755884800927,0.9759615384615384,0.8080437580744425,0.9461279461279462,0.029833592333592285,0.0005
34,0.9235406730134609,0.9764957264957265,0.8002876540025076,0.938752605419272,0.0377431210764545,0.0005
35,0.9077347668550783,0.9823717948717948,0.8004275560379028,0.945763341596675,0.03660845327511986,0.0005
36,0.9266587334164118,0.9775641025641025,0.8605433503786722,0.9291025332692,0.04846156929490253,0.0005
37,0.9095398036100096,0.9802350427350427,0.7950296501318613,0.9658389450056117,0.014396097729430957,0.0005
38,0.9266912826037003,0.9823717948717948,0.7617852985858917,0.9773428731762065,0.005028921695588329,0.0005
39,0.9021838489225356,0.9791666666666666,0.8093681136767069,0.9404080487413822,0.038758617925284455,0.0005
40,0.9113642613766557,0.9706196581196581,0.8148554762204488,0.9510982844316176,0.019521373688040522,0.0005
41,0.8994436829777087,0.9845085470085471,0.7606243888537089,0.977202581369248,0.0073059656392990835,0.0005
42,0.8924950876478421,0.9818376068376068,0.7572262585163116,0.988425925925926,-0.00658831908831925,0.0005
43,0.8910888554686207,0.9823717948717948,0.7686684429645538,0.9623216289882959,0.02005016588349895,0.0005
44,0.8908643399254751,0.9839743589743589,0.768589437007904,0.9774130190796859,0.006561339894673002,0.0005
45,0.8860467197531361,0.9855769230769231,0.7569990952809652,0.9887766554433222,-0.003199732366399033,0.0005
46,0.8757318379515309,0.9813034188034188,0.7987978657086691,0.9567099567099567,0.024593462093462026,0.0005
47,0.8917359477382595,0.9834401709401709,0.7232072353363037,1.0,-0.016559829059829112,0.0005
48,0.8587879821405573,0.9903846153846154,0.7427014609177908,0.9943883277216611,-0.004003712337045662,0.0005
49,0.8671023774955232,0.9919871794871795,0.787900447845459,0.9828142536475869,0.009172925839592616,0.0005
50,0.8665730619834642,0.9882478632478633,0.7445891698201498,0.9776094276094276,0.010638435638435695,0.0005
51,0.8697151642734722,0.9946581196581197,0.7584784229596456,0.988425925925926,0.006232193732193636,0.0005
52,0.8474813103675842,0.9919871794871795,0.7971034546693166,0.9717312008978674,0.020255978589312162,0.0005
53,0.8756822610305528,0.9946581196581197,0.7854676842689514,0.9717312008978676,0.022926918760252102,0.00025
54,0.8396761326466576,0.9967948717948718,0.7806905011336008,0.977202581369248,0.019592290425623826,0.00025
55,0.8376891410956948,0.9962606837606838,0.7558424770832062,0.9828142536475869,0.013446430113096874,0.00025
56,0.8277975391533415,0.999465811965812,0.7659358580907186,0.9828142536475869,0.016651558318225068,0.00025
57,0.826367525731103,0.9978632478632479,0.7275120317935944,0.9828142536475869,0.015048994215660971,0.00025
58,0.8141232597625861,0.9962606837606838,0.7212936182816824,0.9887766554433219,0.007484028317361835,0.00025
59,0.8194162401102357,0.9983974358974359,0.7424100836118063,0.9831649831649831,0.015232452732452773,0.00025
60,0.8142338213274034,0.9978632478632479,0.7325470646222433,0.9831649831649831,0.01469826469826474,0.00025
61,0.815032641766435,1.0,0.7456850310166677,0.9831649831649831,0.01683501683501687,0.00025
62,0.8075415411237943,0.999465811965812,0.7551025549570719,0.9831649831649831,0.016300828800828837,0.00025
63,0.8105998746419357,0.9946581196581197,0.8155061503251394,0.9588875630542297,0.03577055660388995,0.00025
64,0.8198360618898424,0.9946581196581197,0.7671146591504415,0.9828142536475869,0.011843866010532778,0.000125
65,0.8140098674822662,1.0,0.7622333665688833,0.9828142536475869,0.0171857463524131,0.000125
66,0.8044025322138253,0.9989316239316239,0.7345529993375143,0.9887766554433219,0.010154968488301996,0.000125
67,0.8059709264060199,1.0,0.7703352868556976,0.9828142536475869,0.0171857463524131,0.000125
68,0.8086124668687077,0.999465811965812,0.7684100568294525,0.9828142536475869,0.016651558318225068,0.000125
69,0.7985814405699908,1.0,0.7202785213788351,0.9943883277216609,0.0056116722783391415,0.000125
70,0.8005163528151431,1.0,0.7412777642409006,0.9887766554433219,0.011223344556678061,0.000125
71,0.7997541306382518,0.9983974358974359,0.7730463643868765,0.9828142536475869,0.015583182249849004,0.000125
72,0.8018595606593762,0.999465811965812,0.7675633033116659,0.9828142536475869,0.016651558318225068,0.000125
73,0.7957218713679556,0.999465811965812,0.7644498646259308,0.9774130190796857,0.02205279288612627,0.000125
74,0.7990790938926955,1.0,0.7552140057086945,0.9828142536475869,0.0171857463524131,0.000125
75,0.8022958151364731,0.999465811965812,0.7770720223585764,0.9828142536475869,0.016651558318225068,6.25e-05
76,0.8051740981764712,1.0,0.763437827428182,0.9828142536475869,0.0171857463524131,6.25e-05
77,0.799551093982438,1.0,0.767534464597702,0.9774130190796857,0.022586980920314303,6.25e-05
78,0.7945018703654662,1.0,0.7630367477734884,0.9774130190796857,0.022586980920314303,6.25e-05
79,0.7974182518862062,1.0,0.742123673359553,0.9832210998877664,0.016778900112233597,6.25e-05
80,0.7981780484571295,1.0,0.750111053387324,0.9831649831649831,0.01683501683501687,6.25e-05
81,0.800494358701221,0.999465811965812,0.7259419759114584,0.9887766554433219,0.010689156522490029,3.125e-05
