epoch,train_loss,train_acc,val_loss,val_f1,gap,lr
1,3.4894342018386064,0.18269230769230768,3.08722984790802,0.08606371282983832,0.09662859486246936,0.0005
2,2.8492534807172873,0.3787393162393162,2.323665897051493,0.31654918369627805,0.06219013254303818,0.0005
3,2.4819555848331776,0.530448717948718,2.0116023818651834,0.4190345221553882,0.11141419579332973,0.0005
4,2.2145379013934376,0.6095085470085471,1.7922301093737285,0.5341075143039292,0.07540103270461784,0.0005
5,2.0148821382199302,0.6586538461538461,1.723922351996104,0.5592852485396346,0.09936859761421157,0.0005
6,1.904424996699317,0.7387820512820513,1.4801963170369465,0.707306748644468,0.03147530263758336,0.0005
7,1.739986142869723,0.7644230769230769,1.382162054379781,0.7461574690741357,0.018265607848941157,0.0005
8,1.6312431198055461,0.8247863247863247,1.230250597000122,0.8047242880576214,0.020062036728703325,0.0005
9,1.5270538996841947,0.8221153846153846,1.2314026554425557,0.7423160943994278,0.07979929021595678,0.0005
10,1.464464563434407,0.8146367521367521,1.2870067755381267,0.7270011216089647,0.08763563052778744,0.0005
11,1.4093815007452237,0.8808760683760684,1.09231631954511,0.8453102453102453,0.03556582306582301,0.0005
12,1.3671603546304218,0.8792735042735043,1.0910637577374775,0.8250060125060126,0.05426749176749168,0.0005
13,1.2993654820878626,0.8974358974358975,1.0733018120129902,0.8499509749509749,0.04748492248492253,0.0005
14,1.2426167766926652,0.8942307692307693,1.0603874524434407,0.8356641814975149,0.058566587733254405,0.0005
15,1.1988437983949305,0.9017094017094017,0.9382785360018412,0.8941128316128315,0.007596570096570221,0.0005
16,1.1623895602711176,0.9348290598290598,0.920441746711731,0.9062480729147394,0.028580986914320428,0.0005
17,1.1632139420105239,0.9300213675213675,0.9794903496901194,0.8946288279621614,0.03539253955920618,0.0005
18,1.163817669375468,0.9134615384615384,1.0026974578698475,0.8584828751495419,0.05497866331199652,0.0005
19,1.108320591813427,0.9332264957264957,0.9306458930174509,0.9095709845709846,0.023655511155511122,0.0005
20,1.0833902591365878,0.9487179487179487,0.9058843950430552,0.9025076775076776,0.0462102712102711,0.0005
21,1.0739419531014005,0.9407051282051282,0.8859081864356995,0.9086800545133877,0.03202507369174046,0.0005
22,1.0490656889091103,0.9636752136752137,0.8463434080282847,0.9378237503237502,0.02585146335146349,0.0005
23,1.0416002182637232,0.9529914529914529,0.8570025761922201,0.9226982893649561,0.03029316362649681,0.0005
24,1.0232151746749878,0.969017094017094,0.8425336480140686,0.9607884399551065,0.008228654061987473,0.0005
